iter	Passed	Remaining
0	1	111
1	1	93
2	2	93
3	3	85
4	4	86
5	5	85
6	6	84
7	7	86
8	8	85
9	9	85
10	10	83
11	11	81
12	11	78
13	12	77
14	13	75
15	14	73
16	14	73
17	15	72
18	16	71
19	17	69
20	18	68
21	18	66
22	19	66
23	20	66
24	22	66
25	22	65
26	23	64
27	24	62
28	25	61
29	25	60
30	26	59
31	27	58
32	28	57
33	28	56
34	29	55
35	30	54
36	31	53
37	31	52
38	32	51
39	33	50
40	34	49
41	35	48
42	35	47
43	37	47
44	37	46
45	38	45
46	39	44
47	40	43
48	41	42
49	41	41
50	42	40
51	43	39
52	43	39
53	44	38
54	45	37
55	46	36
56	47	35
57	47	34
58	48	33
59	49	33
60	50	32
61	51	31
62	53	31
63	54	30
64	55	29
65	56	28
66	56	28
67	57	27
68	58	26
69	59	25
70	60	24
71	61	23
72	61	22
73	62	21
74	63	21
75	64	20
76	65	19
77	66	18
78	67	17
79	68	17
80	69	16
81	69	15
82	70	14
83	71	13
84	72	12
85	72	11
86	73	10
87	74	10
88	75	9
89	76	8
90	77	7
91	77	6
92	78	5
93	79	5
94	80	4
95	81	3
96	81	2
97	82	1
98	83	0
99	84	0
